id,name,type,category,subcategory,grade,description,additional_description,story_1,story_2,levels,created_by,created_at,updated_at
0351860e-bcbb-40ca-8080-3ae917079b87,Postura pessimista,Passiva,Tecnico,Posture,Suprema,"Con spade a due mani: un piede posto in avanti a gamba piegata, come se fosse pronto per scattare. L'altra deve essere tesa e verso l'esterno, il busto basso.
L'impugnatura della spada deve essere dal lato della gamba piegata, la spada dietro la nuca e leggermente inclinata con la punta verso il basso.","Postura d'eccellenza per le finte, essendo una postura finta-offensiva/difensiva",,,"[{""level"":1,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""La postura permette un ottima apertura laterale con danno pesante critico.\nApre bene a finte oppressive per poi concludere comunque in un pesante critico.\nIl fendente laterale ha anche vantaggio a contrattacco durante la sua applicazione. \nIn alternativa, offre netto vantaggio alle difese eseguendo una semplice parta alzando la spada per poi proseguire con attacchi in affondo o manovre di spada contro-difensive\nSvantaggio a parate e Deviazioni dal basso""},{""level"":2,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":3,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":4,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":5,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":6,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":7,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":8,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":9,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":10,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""}]",479ab18e-0df5-418a-86fd-6ffc4791250a,2025-09-18 14:02:04.58368+00,2025-09-18 14:02:04.58368+00
0a98984b-b556-415b-911c-690954a421dc,Postura jungiana della Persona,Passiva,Tecnico,Posture,Semplice,"Gamba dal lato dominante posta in avanti mentre l'altra posta leggermente indietro
Spada tenuta con la punta verso il basso.",Postura difensiva,,,"[{""level"":1,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Offre vantaggio contro affondi in slancio e contrasta bene le azioni difensive a mezza/bassa altezza, per gli attacchi alti invece si è totalmente scoperti, per cui offre una buona possibilità di schivata ed affondo.\nOttiene svantaggio sulle finte e si è incapacitati alle finte gli attacchi nemici alti hanno netto svantaggio alla parata""},{""level"":2,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":3,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":4,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":5,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":6,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":7,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":8,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":9,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":10,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""}]",479ab18e-0df5-418a-86fd-6ffc4791250a,2025-09-16 23:58:31.229029+00,2025-09-16 23:58:31.229029+00
0fa8973e-1866-4497-9db1-07a1d58c249f,Postura del terrore,Passiva,Tecnico,Posture,Suprema,Spade ad una mano: Arma rivolta lateralmente con braccio teso a massima apertura orizzontale.,Postura semi-offensiva ottima per le finte e per applicare pressione durante un combattimento,,,"[{""level"":1,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Offre vantaggio ad ogni primo colpo in postura. \nOttieni leggero vantaggio alle azioni di schiavata in Contrattacco \nPiù tempo rimani in postura senza attaccare maggiore il danno ed il vantaggio al primo colpo. \nColpire nuovamente tuttavia comporta un grave svantaggio se il primo colpo non ha raggiunto il suo culmine.""},{""level"":2,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":3,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":4,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":5,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":6,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":7,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":8,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":9,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":10,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""}]",479ab18e-0df5-418a-86fd-6ffc4791250a,2025-09-10 20:36:19.021597+00,2025-09-17 01:03:04.833261+00
11e78f41-6fc5-4d11-8146-7050adfb1316,Finta,Attiva,Tecnico,Posture,Semplice,"Esegue un attacco che non viene portato a termine, se l'avversario reagisce con una parata, una deviazione o una schivata (Situazionale) garantisce grande vantaggio ad una contro-difesa.
Al contrario, se l'avversario attacca o risponde con un contrattacco, si ottiene enorme svantaggio ad una contro-offesa.",,,,"[{""level"":1,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Permette l'utilizzo della finta con qualsiasi arma da mischia o Distanza, fisiche o magiche""},{""level"":2,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":3,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":4,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":5,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":6,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":7,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":8,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":9,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":10,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""}]",479ab18e-0df5-418a-86fd-6ffc4791250a,2025-10-23 03:12:55.643844+00,2025-10-23 03:12:55.643844+00
2375cdbe-c275-43c0-bd17-4915174f4fb7,Postura bruniana,Passiva,Tecnico,Posture,Suprema,"Solo con spade ad una mano precise: Postura versatile, braccio teso o angolato in direzione del nemico, Lama posta orizzontalmente con indice esterno alla guardia.",Postura versatile per eccellenza,,,"[{""level"":1,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Ottiene vantaggio agli affondi ed i fendenti veloci.\nGli affondi ignorano resistenze passive dell'armatura, i fendenti ottengono vantaggio per colpire ma infliggono danni dimezzati.\nOttiene un grande vantaggio alle azioni di difesa ma l'altra mano non può essere usata.\nUsare la mano secondaria terminerà la postura.""},{""level"":2,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":3,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":4,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":5,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":6,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":7,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":8,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":9,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":10,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""}]",479ab18e-0df5-418a-86fd-6ffc4791250a,2025-09-10 21:35:59.720819+00,2025-09-10 21:35:59.720819+00
2cff975c-3c64-4a3a-aaab-71637cc52b6b,Postura falsificazionista,Passiva,Tecnico,Posture,Avanzata,"Con spade a due mani o una mano. 
Gamba del lato dominante posta in avanti ed incurvata oltre i 90 gradi. 
La seconda gamba invece deve essere pronta ad uno scatto in avanti.
La spada deve seguire la posizione della parte inferiore della gamba pronta allo scatto, rivolta indietro.",Postura di contrattacco ed inizio serie di risposta.,,,"[{""level"":1,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Vantaggio alle parate o Deviazioni vantaggio sulla propria offensiva che avvengono in seguito. \nLa postura iniziale è ottima sia per gli attacchi, richiamando una postura offensiva. \nSvantaggio contro gli attacchi alti veloci e le contro-difensive\n""},{""level"":2,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":3,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":4,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":5,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":6,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":7,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":8,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":9,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":10,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""}]",479ab18e-0df5-418a-86fd-6ffc4791250a,2025-09-18 22:13:13.477956+00,2025-09-18 22:13:13.477956+00
31734caf-4acf-42c7-9444-febcfafe9ab6,Postura cosmista,Passiva,Tecnico,Posture,Avanzata,"Con spade a due mani: Spada posta dritta leggermente inclinata sopra la testa.
Il pomolo deve essere ad altezza fronte ed il manico tenuto con entrambe le mani","Postura versatile, eccelle negli attacchi ed inizio serie",,,"[{""level"":1,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Vantaggio agli attacchi di inizio serie dall'alto, contrattacchi ed attacchi continuati dall'alto, il vantaggio continua sugli attacchi continuati\nSvantaggio a deviazione e parata sugli attacchi bassi e gli inizio serie in affodno""},{""level"":2,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":3,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":4,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":5,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":6,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":7,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":8,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":9,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":10,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""}]",479ab18e-0df5-418a-86fd-6ffc4791250a,2025-09-16 22:47:22.138122+00,2025-09-16 22:47:22.138122+00
317711c0-1b99-4b7f-9c02-960cb1b87ba8,Postura umanista,Passiva,Tecnico,Posture,Avanzata,"Solo spade a due mani: Gomito non dominante alzato ad altezza petto e laterale posto, gomito dominante alzato.
Arma stretta in posizione di affondo e lama poggiata di piatto sul braccio alzato verso il nemico. (opzionale per le finte)",Postura offensiva con facile intercambio tra offensiva e difensiva,,,"[{""level"":1,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Offre netto vantaggio agli affondi di apertura durante l'attacco ed offre una vasta gamma di finte. \nOffre vantaggio alle azioni di difesa e contrattacco durante la difesa, leggero svantaggio a schivata. \nUsare magie da mano interrompe la postura e lascia svantaggio magistrale alla difesa e leggero svantaggio al lancio di magie da mano""},{""level"":2,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":3,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":4,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":5,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":6,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":7,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":8,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":9,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":10,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""}]",479ab18e-0df5-418a-86fd-6ffc4791250a,2025-09-14 14:19:16.458935+00,2025-09-14 14:19:16.458935+00
40885b80-f20f-4723-8b82-7eb5eb6aea32,Postura trascendentalista,Passiva,Tecnico,Posture,Avanzata,Solo spade: Il manico deve essere tenuto laterale alla testa e la lama rivolta verso il basso non oltre i 60 gradi dal pomolo.,Postura versatile tra l'offensiva e la difensiva,,,"[{""level"":1,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Offre un vantaggio contro gli attacchi alti, colpi letali e attacchi pesanti.\nOffre inoltre un vantaggio alle risposte in Contrattacco agli attacchi bassi, tuttavia subisce svantaggio ad ogni altra azione contro attacchi bassi.\nDurante questa postura è possibile usare solo attacchi alti o affondi verso il basso.""},{""level"":2,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":3,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":4,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":5,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":6,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":7,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":8,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":9,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":10,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""}]",479ab18e-0df5-418a-86fd-6ffc4791250a,2025-09-10 21:09:32.534664+00,2025-09-10 21:09:32.534664+00
4534d774-b8e7-4705-8490-5cbeeeb3c33d,Riposta a parata,Attiva,Mischia Offensiva,Spada,Semplice,"(Solo doppia spada)
Para con svantaggio per avere vantaggio su un contrattacco con arma singola",Richiede parare prima di poter eseguire un affondo di riposta,,,"[{""level"":1,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Para con svantaggio per avere vantaggio su un contrattacco con arma singola""},{""level"":2,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Para con  leggero svantaggio per avere vantaggio su un contrattacco con arma singola""},{""level"":3,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""Para per avere vantaggio su un contrattacco con arma singola""},{""level"":4,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":5,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":6,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":7,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":8,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":9,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""},{""level"":10,""base_value"":0,""bonus_value"":0,""special_effect"":"""",""level_description"":""""}]",479ab18e-0df5-418a-86fd-6ffc4791250a,2025-09-04 13:39:10.496522+00,2025-09-04 13:48:59.383823+00
